SR_No,Survey Registered Date,Survey ID,Mode of Survey,Survey Location,Survey Type,Survey Subtype,LR No,LR Date,Vehicle Number,Other Vehicle Numbers,Vehicle Gross Weight (Kg),Vehicle Tare Weight (Kg),UOM,Cargo Length,Cargo Breadth,Cargo Height,Cargo Weight (Kg),Gross Weight (KG),Unit of Qty,Product Qty,Unit Rate,Tax Rate,Gross Total,Invoice Date,Invoice Value,Sum Assured,Consignor GSTIN,Consignor Name,Consignor City,Consignor State,Consignee GSTIN,Consignee Name,Consignee City,Consignee State,Insurer GSTIN,Insurer Name,Insurer City,Insurer State,Carrier GSTIN,Carrier Name,Carrier City,Carrier State,Shipped From,Shipped To,Weather at Loading Port,Weather at Destination Port,External Packaging Detail,Internal Packaging Detail,Other Packaging Detail,Marks and Numbers (Container/Conveyance),Marks and Numbers (Cargo),Package Observation (Container/Conveyance),Package Observation (Cargo),Lashing (Cargo),Dunnage and Chocking (Cargo),Damages and Other Observation (Container),Damages and Other Observation (Cargo),Invoice and Packing List,Copy of L/R or Delivery Challan,Copy of E-way Bill,Copy of Vehicle Registration Certificate,Copy of Vehicle Fitness Certificate,Date of Factory Stuffing,Date of Cargo expected to leave,Date of L/R (anticipated),Survey Completed Date,Status,Survey Done By,source,Exposure_Value,Delay_Days,Route,Delay_LR_minus_Stuffing,Delay_Stuffing_minus_LR,Delay_Abs_Days,HSN2,from_lat,from_lon,to_lat,to_lon,distance_km,is_intracity,distance_usable,invoice_value,gross_total,sum_assured,exposure_value,eWayBill,eWayBill_12,eWayBillDate,ewaybill_is_valid_12,ewaybill_digits,origin_city,destination_city,route,origin_lat,origin_lon,dest_lat,dest_lon,dispatch_date,arrival_date,delay_days,consignor,consignee,carrier,client_tag,source_file,pipeline_version,run_date,Driver License No,Driver DOB,Driver Mobile No,HSN Code,Product Model No,Product Description,Consignor Address,Consignor Pincode,Consignee Address,Consignee Pincode,Insurer Address,Insurer Pincode,Carrier Address,Carrier PIN,use_for_distance_analytics,near_zero_distance,must_have_nonnull,must_have_fill_rate,is_suspect_test_row,invoice_value_raw,gross_total_raw,sum_assured_raw,dispatch_dt,arrival_dt,delay_abs_days
73,2025-11-04,V2CSSRY101065,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ06GD8726,,"39,500","12,199",FT,8.5,9.4,8.5,"19,998","20,000",Numbers,2,"64,37,457",18.0,,2025-11-04,,,24AAACV2809D1ZS,,VADODARA,Gujarat,07AACCD3570F1ZW,,South West Delhi,Delhi,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AABFY0533F1ZL,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ06GD8726,  Other Vehicle Numbers: ,    Flatbed trailer","Serial No.: W250000109, W250000210","Vehicle Number: RJ06GD8726,  Other Vehicle Numbers: ,    Flatbed trailer",,09 BELTS,WELDING 24 ON BASE FRAME,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-03,2025-11-04,2025-11-03,2025-11-04 12:34:48 PM,Approved,Prashant,,,,,,,,,,,,,795.7577412148929,False,,15192398.0,15192398.0,16711638.0,16711638.0,671997607040.0,,2025-11-02,False,6719976070400,Vadodara,South West Delhi,,22.2973142,73.1942567,28.5864481,76.979153,,,,VOLTAS LIMITED,DELHI INTERNATIONAL AIRPORT LIMITED,YATAYAT CORPORATION OF INDIA,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0620050016659,1986-06-30 18:30:00,9723332178.0,84186100.0,Product Model No,ACEGWFVXR4301 MHSUR-WC VFD SCREW CHILLER (ACEGWFVXR4301MHS2),"Voltas limited , Plot no 1 siddhi industrial infrastructure park, near GEB substation , waghodia , vadodara",391760.0,Opposite Terminal - 3    New Udaan Bhawan  Indira Gandhi International Airport,110037.0,Bank Street    34/38  Fort,400023.0,VEDMANDIR ROAD    7/A  KANKARIA,380022.0,True,False,11,1.0,False,"1,51,92,398","1,51,92,398","1,67,11,638",,,
74,2025-11-04,V2CSSRY101067,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,DD01C9177,,"39,500","12,440",FT,7.1,8.8,7.1,"18,000","18,000",Numbers,2,"78,39,999",18.0,,2025-11-04,,,24AAACV2809D1ZS,,VADODARA,Gujarat,27AAACJ4203H1ZY,,Thane,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24CUOPS2908D1ZJ,,Vadodara,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: DD01C9177,  Other Vehicle Numbers: ,    Flatbed trailer","Serial No.: W250000110, W250000210","Vehicle Number: DD01C9177,  Other Vehicle Numbers: ,    Flatbed trailer",,BELTS 05 NOS,WELDING 30 NOS FOR BASE FRAME,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-04,2025-11-04,2025-11-04,2025-11-04 03:02:37 PM,Approved,Prashant,,,,,,,,,,,,,363.09463463764945,False,,18502397.0,18502398.0,20352637.0,20352637.0,601997965231.0,,2025-11-03,False,6019979652310,Vadodara,Raigarh(MH),,22.2973142,73.1942567,19.0342426,73.0627866,,,,VOLTAS LIMITED,BLUE JET HEALTHCARE LIMITED,RAVINDER SINGH,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0320070029739,1987-02-28 18:30:00,9328624618.0,84186100.0,Product Model No,ACEGWFVXR2601M HSS-WCP SCR ACEGWFVXR2601M HSS VFD+SD+SS tube,"Voltas limited, Siddhi industrial infrastructure park, Near GEB substation waghodia , vadodara",391760.0,"KALYAN MURBAD ROAD,    3/2,  VILLAGE VARAP,",402309.0,Bank Street    34/38  Fort,400023.0,KARELIBAUG  3RD FLOOR  26  Vadodara,390019.0,True,False,11,1.0,False,"1,85,02,397","1,85,02,398","2,03,52,637",,,
75,2025-11-14,V2CSSRY101070,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ05CW3388,,"45,500","11,500",FT,9.6,7.4,9.6,"10,997","10,997",Numbers,2,"32,50,000",18.0,,2025-11-14,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,19AABCW0178R1ZM,,North 24 Parganas,West Bengal,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AABFY0533F1ZL,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ05CW3388,     Flatbed trailer","UNIT SERIAL NUMBER W250000308,W250000409","Vehicle Number: GJ05CW3388,   Flatbed trailer",,5 BELT USE ,20 WELDING ON BASE FRAME IN 2 MACHINES ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-14,2025-11-14,2025-11-14,2025-11-14 08:35:55 PM,Approved,Prashant,,,,,,,,,,,,,1450.8420774634212,False,,7670000.0,7670000.0,8437000.0,8437000.0,602003976724.0,,2025-11-13,False,6020039767240,Vadodara,West Midnapore,,22.2973142,73.1942567,22.4188527,87.307174,,,,VOLTAS LIMITED,WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,YATAYAT CORPORATION OF INDIA,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,JH0119950023548,1975-01-05 18:30:00,6355772344.0,84186100.0,Product Model No, ACEGAFXR1252MLT 2-AC FIX SCREW CHILLER (ACEGAFXR1252ML, SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,Sector-V  1st Floor  GN-29  Saltlake City,700091.0,Bank Street    34/38  Fort,400023.0,VEDMANDIR ROAD    7/A  KANKARIA,380022.0,True,False,11,1.0,False,"76,70,000","76,70,000","84,37,000",,,
76,2025-11-15,V2CSSRY101071,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH11CJ7972,,"19,000","8,000",FT,9.1,8.4,9.1,"10,798","10,798",Numbers,1,"97,63,000",18.0,,2025-11-15,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,36AAACD6745J1ZH,,K.V.Rangareddy,Telangana,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH11CJ7972,   ",UNIT SERIAL NUMBER W250000111,"Vehicle Number: MH11CJ7972,   ",,5 BELT USE ,18 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-15,2025-11-15,2025-11-15,2025-11-15 04:33:13 PM,Approved,Prashant,,,,,,,,,,,,,862.689510441513,False,,11520340.0,11520340.0,12672374.0,12672374.0,672004433625.0,,2025-11-14,False,6720044336250,Vadodara,Nalgonda,,22.2973142,73.1942567,17.0504406,79.2669235,,,,VOLTAS LIMITED,DIVI S LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH2620100013908,1975-03-30 18:30:00,7499455993.0,84186100.0,Product Model No, ACWDX055M30EO84YLG DUAL MODE BCP SCREW , SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,GACHIBOWLI  CYBER HILLS  1-72/23P/DIVIS/303  HYDERABAD,500032.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"1,15,20,340","1,15,20,340","1,26,72,374",,,
77,2025-11-15,V2CSSRY101072,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ14GL8183,,"18,500","5,340",FT,9.6,8.0,9.6,"5,498","5,498",Numbers,1,"42,15,000",18.0,,2025-11-15,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,33AAACV2809D1ZT,,Chennai,Tamil Nadu,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ14GL8183,     ",UNIT SERIAL NUMBER W250000110,"Vehicle Number: RJ14GL8183,   ",,4 BELT USE ,10 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-15,2025-11-15,2025-11-15,2025-11-15 06:07:10 PM,Approved,Prashant,,,,,,,,,,,,,1262.163230563278,False,,4973700.0,4973700.0,5471070.0,5471070.0,632004565252.0,,2025-11-14,False,6320045652520,Vadodara,Kanchipuram,,22.2973142,73.1942567,12.9647163,79.9839686,,,,VOLTAS LIMITED,VOLTAS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0520180000631,1999-07-14 18:30:00,7691817901.0,84186100.0,Product Model No, ACEGAFVXR160T2 MHGI-A/C VFD SCREW CHILLER (ACEGAFVXR160T2 ,SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA   ,391760.0,"Anna Salai, Teynampet    624  Chennai",600018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"49,73,700","49,73,700","54,71,070",,,
78,2025-11-15,V2CSSRY101073,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ40GA5622,,"18,500","7,500",FT,9.6,8.0,9.6,"5,500","5,500",Numbers,1,"42,15,000",18.0,,2025-11-15,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,33AAACV2809D1ZT,,Chennai,Tamil Nadu,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ40GA5622,   ",UNIT SERIAL NUMBER W250000211,"Vehicle Number: RJ40GA5622,     ",,4 BELT USE ,10 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-15,2025-11-15,2025-11-15,2025-11-15 06:32:49 PM,Approved,Prashant,,,,,,,,,,,,,1262.163230563278,False,,4973700.0,4973700.0,5471070.0,5471070.0,622004567383.0,,2025-11-14,False,6220045673830,Vadodara,Kanchipuram,,22.2973142,73.1942567,12.9647163,79.9839686,,,,VOLTAS LIMITED,VOLTAS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,HR5520110216816,1980-10-16 18:30:00,8383083413.0,84186100.0,Product Model No, ACEGAFVXR160T2 MHGI-A/C VFD SCREW CHILLER (ACEGAFVXR160T2    ,SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,"Anna Salai, Teynampet    624  Chennai",600018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"49,73,700","49,73,700","54,71,070",,,
79,2025-11-15,V2CSSRY101074,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,HR47E2377,,"18,500","5,340",FT,9.6,8.0,9.6,"5,500","5,500",Numbers,1,"42,15,000",18.0,,2025-11-15,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,33AAACV2809D1ZT,,Chennai,Tamil Nadu,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: HR47E2377,   ",UNIT SERIAL NUMBER W250000311,"Vehicle Number: HR47E2377,   ",,4 BELT USE ,10 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-15,2025-11-15,2025-11-15,2025-11-15 06:48:35 PM,Approved,Prashant,,,,,,,,,,,,,1262.163230563278,False,,4973700.0,4973700.0,5471070.0,5471070.0,682004566403.0,,2025-11-14,False,6820045664030,Vadodara,Kanchipuram,,22.2973142,73.1942567,12.9647163,79.9839686,,,,VOLTAS LIMITED,VOLTAS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0220150005385,1995-07-04 18:30:00,9588250889.0,84186100.0,Product Model No, ACEGAFVXR160T2 MHGI-A/C VFD SCREW CHILLER (ACEGAFVXR160T2     ,SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,"Anna Salai, Teynampet    624  Chennai",600018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"49,73,700","49,73,700","54,71,070",,,
80,2025-11-22,V2CSSRY101078,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH23AU8077,,"39,500","12,600",FT,10.6,8.4,10.6,"11,998","11,998",Numbers,1,"1,03,35,000",18.0,,2025-11-22,,,24AAACV2809D1ZS,,vadodara ,Gujarat,36AAACD6745J1ZH,,K.V.Rangareddy,Telangana,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH23AU8077,     ",UNIT SERIAL NUMBER W250000111,"Vehicle Number: MH23AU8077,   ",,22 WELDING ON BASE FRAME ,5 BELT USE ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-22,2025-11-22,2025-11-22,2025-11-22 06:45:23 PM,Approved,Prashant,,,,,,,,,,,,,862.689510441513,False,,12195300.0,12195300.0,13414830.0,13414830.0,662008517654.0,,2025-11-21,False,6620085176540,Vadodara,Nalgonda,,22.2973142,73.1942567,17.0504406,79.2669235,,,,VOLTAS LIMITED,DIVI S LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH2320180011126,1999-06-20 18:30:00,9328762266.0,84186100.0,Product Model No,ACWDX220P5EO708 4G-Brine Chilling Plant Screw 162 TR,plot no 1 siddhi indutrial park near gb waghodia 391760,391760.0,GACHIBOWLI  CYBER HILLS  1-72/23P/DIVIS/303  HYDERABAD,500032.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"1,21,95,300","1,21,95,300","1,34,14,830",,,
81,2025-11-22,V2CSSRY101079,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH43BP7416,,"15,200","5,600",FT,9.4,7.4,9.4,"4,998","4,998",Numbers,1,"25,60,000",18.0,,2025-11-22,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,27AAFCS5311N1Z4,,Pune,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AABFY0533F1ZL,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH43BP7416,   ",UNIT SERIAL NUMBER W250000111,"Vehicle Number: MH43BP7416,   ",,8 WELDING ON BASE FRAME,2 BELT USE , , ,Yes,Yes,Yes,Yes,Yes,2025-11-22,2025-11-22,2025-11-22,2025-11-22 09:07:30 PM,Approved,Prashant,,,,,,,,,,,,,,False,,3020800.0,3020800.0,3322880.0,3322880.0,682008789910.0,,2025-11-22,False,6820087899100,,,,,,,,,,,VOLTAS LIMITED,SOHAM SURFACE COATINGS PRIVATE LIMITED,YATAYAT CORPORATION OF INDIA,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0519995000191,1979-10-07 18:30:00,9579918075.0,84186100.0,Product Model No,ACEGAFXR1251MLF R-AC FIX SCREW CHILLER (ACEGAFXR1251ML),PLOT NO 1 SIDDHI INDUSTYRIAL PARK NEAR GB WAGHODIA     ,391760.0,NARHE AMBEGAON ROAD    S. NO. 36/1/3/1  NARHE,411041.0,Bank Street    34/38  Fort,400023.0,VEDMANDIR ROAD    7/A  KANKARIA,380022.0,True,False,9,0.8181818181818182,False,"30,20,800","30,20,800","33,22,880",,,
82,2025-11-26,V2CSSRY101080,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ23AW1482,,"18,500","8,005",METER,9.2,7.4,9.2,"7,000","7,000",Numbers,2,"32,89,630",18.0,,2025-11-26,,,24AAACV2809D1ZS,,VADODARA,Gujarat,24AAACV2809D1ZS,,Ahmedabad,Gujarat,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AABFY0533F1ZL,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ23AW1482,  Other Vehicle Numbers: ,    Flatbed trailer","Serial No.: W250000111,W250000211","Vehicle Number: GJ23AW1482,  Other Vehicle Numbers: ,    Flatbed trailer",,,,Full body truck,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-11-26,2025-11-26,2025-11-26,2025-11-26 11:24:41 AM,Approved,Prashant,,,,,,,,,,,,,65.10315266370502,False,,7763526.0,7763527.0,8539879.0,8539879.0,632010073330.0,,2025-11-24,False,6320100733300,Vadodara,Kheda,,22.2973142,73.1942567,22.8532503,72.9953586,,,,VOLTAS LIMITED,VOLTAS LIMITED,YATAYAT CORPORATION OF INDIA,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP44 20190003682,1997-02-22 18:30:00,9723332178.0,84186100.0,Product Model No,AC CDU SCREW COMP,"Voltas Limited, Plot no 1, Siddhi industrial infrastructure park, Near GEB Substation, Waghodia , Vadodara - 391760",391760.0,"Voltas Limited. C/O 20Cube Logistics and Distribution Pvt. Ltd Shed #C1#Prime warehouse Survey no.691, National highway-8 Vill-hariyala. KHEDA 387120",387120.0,Bank Street    34/38  Fort,400023.0,VEDMANDIR ROAD    7/A  KANKARIA,380022.0,True,False,11,1.0,False,"77,63,526","77,63,527","85,39,879",,,
83,2025-11-29,V2CSSRY101088,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH48BM8616,,"11,990","4,060",FT,9.6,7.6,9.6,"5,000","5,000",Numbers,1,"28,50,000",18.0,,2025-11-29,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,27AAACV2809D1ZM,,Mumbai,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24CUOPS2908D1ZJ,,Vadodara,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH48BM8616,     ",UNIT SERIAL NUMBER W250000811,"Vehicle Number: MH48BM8616,   ",,10 WELDING ON BASE FRAME ,2 BELT USE , , ,Yes,Yes,Yes,Yes,Yes,2025-11-29,2025-11-29,2025-11-29,2025-11-29 05:42:23 PM,Approved,Prashant,,,,,,,,,,,,,326.52107211264706,False,,3363000.0,3363000.0,3699300.0,3699300.0,692012564603.0,,2025-11-28,False,6920125646030,Vadodara,Thane,,22.2973142,73.1942567,19.3653598,73.3685437,,,,VOLTAS LIMITED,VOLTAS LIMITED,RAVINDER SINGH,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0120050061845,1985-03-24 18:30:00,9970509142.0,84186100.0,Product Model No, ACEGAFXR1601ML160 NTR 1C AIR COOLED FLOODED,PLOT NO 1 SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,DR BABASAHEB AMBEDKAR ROAD    VOLTAS HOUSE A  CHINCHPOKLI,400033.0,Bank Street    34/38  Fort,400023.0,KARELIBAUG  3RD FLOOR  26  Vadodara,390019.0,True,False,11,1.0,False,"33,63,000","33,63,000","36,99,300",,,
84,2025-11-29,V2CSSRY101094,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH48CB6211,,"11,990","5,040",FT,9.6,7.6,9.6,"5,000","5,000",Numbers,1,"28,50,000",18.0,,2025-11-29,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,27AAACV2809D1ZM,,Mumbai,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24CUOPS2908D1ZJ,,Vadodara,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH48CB6211,   ",UNIT SERIAL NUMBER W250000611,"Vehicle Number: MH48CB6211,   ",,10 NOS WELDING ON BASE FRAME ,2 BELT USE , , ,Yes,Yes,Yes,Yes,Yes,2025-11-29,2025-11-29,2025-11-29,2025-11-29 06:24:35 PM,Approved,Prashant,,,,,,,,,,,,,326.52107211264706,False,,3363000.0,3363000.0,3699300.0,3699300.0,632012712387.0,,2025-11-28,False,6320127123870,Vadodara,Thane,,22.2973142,73.1942567,19.3653598,73.3685437,,,,VOLTAS LIMITED,VOLTAS LIMITED,RAVINDER SINGH,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0320080001356,1978-11-14 18:30:00,9082970364.0,84186100.0,Product Model No, ACEGAFXR1601ML160 NTR 1C AIR COOLED FLOODED,PLOT NO 1 SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,DR BABASAHEB AMBEDKAR ROAD    VOLTAS HOUSE A  CHINCHPOKLI,400033.0,Bank Street    34/38  Fort,400023.0,KARELIBAUG  3RD FLOOR  26  Vadodara,390019.0,True,False,11,1.0,False,"33,63,000","33,63,000","36,99,300",,,
85,2025-11-29,V2CSSRY101097,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH48CB8238,,"16,100","4,672",FT,9.6,7.6,9.6,"5,000","5,000",Numbers,1,"28,50,000",18.0,,2025-11-29,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,27AAACV2809D1ZM,,Mumbai,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24CUOPS2908D1ZJ,,Vadodara,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH48CB8238,   ",UNIT SERIAL NUMBER W2540000711,"Vehicle Number: MH48CB8238,   ",,10 WELDING ON BASE FRAME ,3 BELT USE , , ,Yes,Yes,Yes,Yes,Yes,2025-11-29,2025-11-29,2025-11-29,2025-11-29 07:29:28 PM,Approved,Prashant,,,,,,,,,,,,,326.52107211264706,False,,3363000.0,3363000.0,3699300.0,3699300.0,652012744146.0,,2025-11-28,False,6520127441460,Vadodara,Thane,,22.2973142,73.1942567,19.3653598,73.3685437,,,,VOLTAS LIMITED,VOLTAS LIMITED,RAVINDER SINGH,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP5120210010990,2002-08-14 18:30:00,8793501658.0,84186100.0,Product Model No, ACEGAFXR1601ML160 NTR 1C AIR COOLED FLOODED,PLOT NO 1 SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,DR BABASAHEB AMBEDKAR ROAD    VOLTAS HOUSE A  CHINCHPOKLI,400033.0,Bank Street    34/38  Fort,400023.0,KARELIBAUG  3RD FLOOR  26  Vadodara,390019.0,True,False,11,1.0,False,"33,63,000","33,63,000","36,99,300",,,
